name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Bengaluru,11-09-2022,27.1,20.8,23,28.9,20.8,23.1,20.2,84.8,0.328,100,4.17,rain,0,0,55.4,36.4,244,1010.5,78,6.5,233.7,20.2,8,10,2022-09-11T06:07:38,2022-09-11T18:22:47,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,12-09-2022,28,21,23.1,29.6,21,23.2,19.4,80.3,0,0,0,rain,0,0,59,32.4,247.2,1010.6,65.5,6.8,237.9,20.7,9,10,2022-09-12T06:07:38,2022-09-12T18:22:05,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,13-09-2022,26.3,19,22.7,26.3,19,22.7,20,85.1,7.717,100,8.33,rain,0,0,49,25.9,239.7,1013,65.4,6,271.9,23.6,10,10,2022-09-13T06:07:38,2022-09-13T18:21:23,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,14-09-2022,27.6,20,23.3,29.6,20,23.7,20.5,85.3,0.082,100,4.17,rain,0,0,38.2,25.5,241,1015.2,62.6,6.5,270.4,23.3,10,10,2022-09-14T06:07:38,2022-09-14T18:20:40,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,15-09-2022,27.6,20,23.2,29.5,20,23.5,20,83.1,0.7,100,16.67,rain,0,0,35.6,19,251,1015.9,61.6,6.5,276.7,24.1,10,30,2022-09-15T06:07:38,2022-09-15T18:19:58,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,16-09-2022,27,19.7,23.4,28.8,19.7,23.8,20.1,82.9,0.9,100,16.67,rain,0,0,40.3,26.3,257.2,1014.2,52.9,6.8,258.7,22.6,10,30,2022-09-16T06:07:38,2022-09-16T18:19:15,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,17-09-2022,29,20,24.2,31.1,20,24.7,20.1,79.5,1.5,100,20.83,rain,0,0,32.4,18.8,261.1,1013.8,51.7,6.8,273.1,23.6,10,30,2022-09-17T06:07:37,2022-09-17T18:18:33,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,18-09-2022,28.9,20,24.2,30.5,20,24.6,20,79.5,0.082,100,4.17,rain,0,0,36,20.2,267,1014.3,49.4,6.4,258.8,22.3,9,10,2022-09-18T06:07:37,2022-09-18T18:17:50,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,19-09-2022,27.7,20,23.4,29.5,20,23.6,19.5,79.3,0.4,100,8.33,rain,0,0,34.9,19.9,266.9,1014,56.4,6.4,248.4,21.4,9,10,2022-09-19T06:07:37,2022-09-19T18:17:07,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,20-09-2022,27.7,18.9,23.1,28.5,18.9,23.2,18.1,75.6,0.5,100,12.5,rain,0,0,37.1,22.9,274.5,1013.6,51.3,6.8,239.2,20.6,9,10,2022-09-20T06:07:37,2022-09-20T18:16:25,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,21-09-2022,27.6,19.5,23,28.7,19.5,23.2,19.1,80,0,0,0,rain,0,0,36,21.9,272.9,1013.6,52.2,6.6,279,24.1,10,10,2022-09-21T06:07:37,2022-09-21T18:15:42,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,22-09-2022,28.7,18.9,23.7,28.8,18.9,23.8,17.8,72,0.1,100,4.17,rain,0,0,33.8,19.9,268.1,1014.1,50.9,6.1,315,27.1,10,10,2022-09-22T06:07:37,2022-09-22T18:15:00,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,23-09-2022,28.9,19,23.6,29.6,19,23.7,18.2,73.9,0,0,0,,0,0,32.4,17.4,267.3,1014.6,39.3,6.4,268.9,23.2,10,10,2022-09-23T06:07:37,2022-09-23T18:14:17,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,24-09-2022,28.6,20,23.8,29.8,20,24,19.2,77.1,0.3,100,12.5,rain,0,0,37.1,20,274.1,1014.2,52.4,6.9,265.1,22.9,10,10,2022-09-24T06:07:37,2022-09-24T18:13:35,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,25-09-2022,28.9,19.5,23.9,30,19.5,24.3,19.3,77.3,4.717,100,4.17,rain,0,0,27.4,15.2,295.9,1013,49.6,6.7,265,22.8,10,10,2022-09-25T06:07:38,2022-09-25T18:12:53,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,26-09-2022,27.5,20.5,23.6,29.4,20.5,23.8,20.3,82.5,2.9,100,20.83,rain,0,0,25.6,15.7,294,1013.7,59,6.1,213.3,18.5,10,10,2022-09-26T06:07:38,2022-09-26T18:12:11,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,27-09-2022,27.6,21,24.4,29.1,21,24.6,19.8,76.7,0.3,100,8.33,rain,0,0,27.4,20.6,299,1013,71.3,6.7,189.5,16.2,8,10,2022-09-27T06:07:39,2022-09-27T18:11:29,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,28-09-2022,27.5,21,23.7,29.5,21,24,20.3,81.5,0.1,100,4.17,rain,0,0,30.2,16.7,276.9,1011.9,61.5,5.8,271.4,23.5,9,10,2022-09-28T06:07:40,2022-09-28T18:10:47,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,29-09-2022,27.3,20.2,23.5,28.5,20.2,23.5,19.2,78.3,7.665,100,4.17,rain,0,0,32,18.4,275.2,1011.9,57.1,6.4,244.4,21,9,10,2022-09-29T06:07:41,2022-09-29T18:10:06,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,30-09-2022,25.7,20,21.9,25.7,20,21.9,19.4,86.2,1.179,100,4.17,rain,0,0,39.6,23.2,277.4,1012.5,69.7,5.6,198,17,8,10,2022-09-30T06:07:42,2022-09-30T18:09:25,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,01-10-2022,24.7,19,20.9,24.7,19,20.9,19.6,92.8,12.776,100,8.33,rain,0,0,44.3,23.3,271.9,1013.1,88.4,4.9,174.2,15.1,10,10,2022-10-01T06:07:44,2022-10-01T18:08:44,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,02-10-2022,26.2,19,22.6,26.2,19,22.6,20,86.1,4.3,100,16.67,rain,0,0,42.1,22.3,282.1,1012.7,85.7,6,201.1,17.4,9,10,2022-10-02T06:07:46,2022-10-02T18:08:04,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,03-10-2022,26.5,19.7,22.9,26.5,19.7,22.9,20.2,85.3,0.7,100,8.33,rain,0,0,37.1,18.4,286.4,1012.5,74.1,5.4,210.9,18.1,8,10,2022-10-03T06:07:48,2022-10-03T18:07:23,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,04-10-2022,27.7,20,23.7,29.6,20,24.1,20.4,82.7,0.205,100,4.17,rain,0,0,37.1,19.4,293.8,1012.2,45.9,5.6,209.7,18.1,9,10,2022-10-04T06:07:50,2022-10-04T18:06:44,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,05-10-2022,27.9,20,23.6,29.7,20,24,20.4,82.9,3.2,100,29.17,rain,0,0,31.3,15.7,277.1,1011.7,46.3,5.7,213.5,18.4,9,10,2022-10-05T06:07:53,2022-10-05T18:06:04,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,06-10-2022,26.5,20.5,22.5,26.5,20.5,22.5,20.5,89,1.5,100,29.17,rain,0,0,31.3,22.6,250.8,1011.3,63.6,5.2,208.3,18,9,10,2022-10-06T06:07:56,2022-10-06T18:05:25,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43296099999,VOBG,43301099999,42705699999,VOBL,43302599999,43295099999"
Bengaluru,07-10-2022,27.5,19,23.2,29,19,23.4,19.3,80,0,0,0,rain,0,0,28.1,20,251.8,1012.3,56.7,6.2,246.3,21.3,9,10,2022-10-07T06:07:59,2022-10-07T18:04:46,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,43301099999,42705699999,VOBL,43302599999,43295099999"
Bengaluru,08-10-2022,27.5,19.8,23.4,28.6,19.8,23.7,19.4,79.8,2.3,100,41.67,rain,0,0,29.2,22.3,306.3,1013.7,84.3,6.7,180.3,15.6,9,10,2022-10-08T06:08:03,2022-10-08T18:04:08,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,09-10-2022,27.5,21,22.9,29.6,21,23,21.2,90.6,0.823,100,8.33,rain,0,0,10.8,12,344.3,1013.8,82.4,5.2,189.1,16.3,6,10,2022-10-09T06:08:07,2022-10-09T18:03:31,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,10-10-2022,26.9,21,23.4,28.9,21,23.7,21.4,89.3,11.08,100,4.17,rain,0,0,24.5,16.9,106.4,1014.5,69.8,5.3,178.4,15.5,7,30,2022-10-10T06:08:11,2022-10-10T18:02:53,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,11-10-2022,27.9,20.5,23.5,30.3,20.5,23.6,21.4,88.8,2.358,100,4.17,rain,0,0,27.7,19,124.8,1014.2,66.2,5.1,224.3,19.5,9,60,2022-10-11T06:08:16,2022-10-11T18:02:17,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
Bengaluru,12-10-2022,27.9,21,23.6,30,21,23.8,21.3,87.9,3.538,100,4.17,rain,0,0,12.6,17.2,167.7,1014.7,69.2,5.2,221,19,8,30,2022-10-12T06:08:21,2022-10-12T18:01:41,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
